Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,237700,257600,205000,300000,199600,172400
Feb 2005,101,101,101.2,100.9,100.9,101.3,240100,260100,207400,302700,201400,174600
Mar 2005,102.1,102.1,102.4,101.9,101.7,102.3,242600,263000,210000,305700,202900,176400
Apr 2005,103.1,103.2,103.8,102.9,102.5,103.1,245100,265800,212700,308600,204500,177800
May 2005,103.8,103.8,104.6,103.4,103.2,104.1,246700,267500,214500,310100,205900,179500
Jun 2005,104.5,104.5,105.1,104.1,104.1,105.3,248500,269200,215400,312300,207700,181500
Jul 2005,105,104.9,105.9,104.3,105,106,249700,270300,217100,312900,209500,182700
Aug 2005,105.8,105.7,106.7,105,105.9,106.3,251400,272300,218800,314900,211300,183200
Sep 2005,106.5,106.3,107.5,105.6,106.7,108.1,253200,273900,220300,316700,213000,186400
Oct 2005,107.1,106.9,107.8,106.2,107.3,108.2,254500,275400,221000,318700,214100,186600
Nov 2005,107.4,107.3,108.2,106.5,107.8,108.6,255400,276300,221900,319600,215100,187300
Dec 2005,107.6,107.4,108.5,106.5,108.1,109.1,255800,276600,222500,319600,215800,188100
Jan 2006,109.4,109.2,110.2,108.4,109.7,110.8,260000,281200,225900,325100,218900,191100
Feb 2006,111.3,111.1,112.4,110.1,111.8,112.8,264600,286200,230500,330300,223100,194500
Mar 2006,113.3,113.1,114.7,112,113.5,114.5,269200,291400,235200,335900,226600,197400
Apr 2006,115.5,115.3,117.2,114.1,115.8,116.6,274500,297100,240300,342200,231100,201000
May 2006,117.4,117.2,119.6,115.5,118.3,118.7,279000,301800,245100,346600,236100,204700
Jun 2006,118.8,118.5,121.2,116.7,120.9,120.4,282400,305200,248500,350100,241300,207500
Jul 2006,119.5,119,122.2,116.9,122.3,121.9,284100,306500,250500,350700,244200,210200
Aug 2006,120.5,119.8,123.2,117.7,124,123.3,286400,308700,252600,353000,247600,212600
Sep 2006,121.4,120.7,124,118.6,124.8,124.9,288600,310800,254100,355700,249200,215300
Oct 2006,121.2,120.4,123.9,118.2,125.8,124.7,288100,310100,254000,354500,251000,215000
Nov 2006,121.2,120.4,123.9,118.2,125.8,124.4,288000,310100,254000,354500,251100,214500
Dec 2006,121.2,120.3,124.5,117.7,126.6,124.7,288100,309900,255200,353100,252600,215000
Jan 2007,122.7,121.8,125.9,119.2,127.4,126.4,291600,313700,258000,357700,254300,217900
Feb 2007,124.9,124.2,128.5,121.5,129.1,128.1,296900,319900,263400,364500,257700,220900
Mar 2007,126.8,126.1,130.9,123.1,131.4,130.3,301500,324800,268300,369200,262300,224700
Apr 2007,128.8,128.1,133,125,133,132.4,306200,329900,272600,375100,265500,228300
May 2007,130.8,130,135.5,126.7,135,134.3,310900,335000,277800,380000,269500,231500
Jun 2007,132.3,131.5,137.3,127.9,136.7,136,314400,338700,281400,383600,272900,234500
Jul 2007,132.9,132,138.2,128.2,137.6,137.2,315900,340100,283300,384700,274600,236500
Aug 2007,133.5,132.5,138.6,128.8,138.6,137.9,317300,341400,284100,386400,276700,237800
Sep 2007,134.1,133.2,139,129.5,138.8,138.8,318700,343000,285000,388500,277000,239300
Oct 2007,134.1,133.2,138.9,129.5,138.9,139,318700,343000,284700,388500,277200,239700
Nov 2007,133.9,132.9,138.3,129.4,138.8,139.2,318300,342300,283600,388200,277000,240000
Dec 2007,133.7,132.5,137.8,129.1,139.1,139.6,317700,341400,282400,387400,277600,240600
Jan 2008,134.8,133.8,138.9,130.4,139.8,140.6,320500,344600,284800,391200,279100,242400
Feb 2008,135.9,135,140.3,131.5,140.7,141.3,323000,347700,287700,394400,280800,243600
Mar 2008,136.8,135.8,141.5,132.1,141.6,142.6,325100,349800,290100,396200,282700,245800
Apr 2008,137,136,141.7,132.3,142.5,142.8,325700,350400,290500,397000,284400,246200
May 2008,136.9,135.8,141.6,132.1,142.7,142.6,325300,349900,290200,396200,284900,245900
Jun 2008,136.3,135.3,140.9,131.5,142.5,142.1,324100,348500,288900,394600,284400,244900
Jul 2008,134.9,133.7,139.5,129.9,141.6,141,320700,344500,286000,389600,282600,243100
Aug 2008,133.9,132.7,138.4,128.9,140.6,139.8,318200,341800,283800,386600,280600,241100
Sep 2008,132.8,131.6,136.9,128,139.5,138.7,315600,338900,280700,383900,278500,239100
Oct 2008,130.4,129.2,134.4,125.6,137.6,136.2,309900,332700,275500,376800,274700,234800
Nov 2008,128.2,127.1,131.5,123.9,135.4,133.6,304800,327300,269600,371800,270300,230400
Dec 2008,125.5,124.3,129,121.1,132,131.7,298400,320200,264400,363400,263500,227000
Jan 2009,124.7,123.6,128,120.6,131.4,129.4,296300,318500,262500,361700,262200,223100
Feb 2009,124.4,123.3,127.9,120.1,130.9,129.3,295600,317500,262100,360300,261300,222900
Mar 2009,124.3,123.2,127.5,120.3,130.4,129.6,295500,317400,261300,360800,260300,223400
Apr 2009,125.5,124.5,128.9,121.4,130.8,131,298400,320800,264200,364200,261100,225900
May 2009,127.1,126.2,130.2,123.1,131.6,132.4,302000,325000,267000,369400,262700,228200
Jun 2009,128.7,127.8,131.4,124.9,132.6,134.3,305900,329200,269400,374700,264700,231600
Jul 2009,130.2,129.3,132.9,126.3,134.4,136.1,309400,333000,272500,378800,268200,234600
Aug 2009,131.8,130.9,134,128.1,135.7,137.8,313200,337100,274700,384200,270900,237600
Sep 2009,133.4,132.5,134.9,130,137.3,139.7,317000,341200,276600,389900,274000,240800
Oct 2009,134.7,133.9,136.1,131.5,138.5,141.1,320300,344900,279100,394400,276400,243200
Nov 2009,135.8,134.9,136.5,132.7,139.4,142.5,322700,347500,279900,398200,278300,245700
Dec 2009,136.2,135.2,136.9,133,140.5,143.2,323700,348300,280700,399000,280400,246900
Jan 2010,137.7,136.7,137.9,134.7,142.2,145.3,327400,352100,282600,404200,283900,250500
Feb 2010,139.6,138.7,139.7,136.9,143.6,146.6,331900,357400,286400,410600,286600,252700
Mar 2010,141.2,140.4,141.3,138.4,145.3,148.1,335700,361600,289600,415300,290100,255300
Apr 2010,142.2,141.4,142.4,139.3,147,148.8,338100,364200,291900,417900,293500,256500
May 2010,142.6,141.7,142.7,139.7,147.3,149.1,338900,365100,292600,419100,294000,257000
Jun 2010,141.9,141.1,141.8,139.2,147.4,148.1,337400,363500,290700,417500,294300,255400
Jul 2010,141.1,140.4,141.3,138.3,146.2,146.9,335400,361600,289700,414900,291900,253300
Aug 2010,140.6,139.9,140.4,138.1,145.5,146.1,334200,360400,287900,414200,290500,251900
Sep 2010,140.2,139.4,139.6,137.8,145.2,146.3,333300,359200,286200,413300,289900,252200
Oct 2010,140.1,139.4,139.5,137.7,144.6,146.5,333100,359000,285900,413000,288700,252500
Nov 2010,140.1,139.4,138.8,138,144.3,146.1,333000,359000,284500,414100,288100,251900
Dec 2010,139.9,139.2,138.2,138,144.7,146.1,332600,358500,283400,413900,288800,251900
Jan 2011,141.4,140.8,139.2,139.9,144.8,147.4,336000,362600,285300,419600,289000,254200
Feb 2011,143.8,143.4,141.6,142.5,146.5,149.4,341800,369300,290200,427500,292500,257500
Mar 2011,145.8,145.6,143.6,144.7,147.9,150.7,346600,375000,294300,434100,295300,259800
Apr 2011,147.6,147.5,145.1,146.7,149,152,350800,379900,297500,440200,297400,262000
May 2011,149.1,149.3,146.6,148.6,149.7,152.7,354500,384600,300600,445900,298900,263200
Jun 2011,150.1,150.3,147.2,149.8,150.1,153.5,356700,387200,301800,449400,299500,264700
Jul 2011,150.5,150.8,147.5,150.4,151,153.7,357800,388500,302300,451200,301300,264900
Aug 2011,151,151.3,147.5,151.1,151.8,154.1,359000,389800,302300,453300,302900,265600
Sep 2011,151.2,151.6,147.7,151.5,151.7,154.1,359500,390600,302700,454400,302800,265600
Oct 2011,151.3,151.9,147.5,151.8,151.7,153.5,359700,391200,302400,455400,302800,264700
Nov 2011,151.4,151.9,147.7,151.8,151.7,153.7,359800,391300,302700,455400,302800,265000
Dec 2011,151.3,152,147.9,151.9,150.7,153.2,359600,391600,303200,455600,300700,264100
